,,,,,,
,,,,,,
,Sua empresa,,,,,
,"Rua, 123",,,,,
,"Cidade, Estado, 00000-000",,,,,
,(55) 000-0000,,,,,
,,,,,,
,Relatório de despesas,,,,,
,04/09/00 - 05/09/00,,,,,
,,,,,,
,Nome,,Código de funcionário,,Departamento,
,Nome do funcionário,,111111,,Departamento,
,,,,,,
,Gerente,,Finalidade,,,
,Nome do gerente,,Finalidade da despesa,,,
,,,,,,
,,,,,,
,Data,Categoria,Descrição,,Observações,Valor
,04/09,Voo,Voo 123,,,"R$0,00"
,05/09,Hotel,Nome do hotel,,,"R$0,00"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,"R$0,00",
,,,,,,
,Assinatura,,,,Data,
